concept_id,cui,name,semantic_types,atom_url,relations_url
30811009,C0151970,Ulcer of esophagus,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0151970/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0151970/relations
48694002,C0003467,Anxiety,Mental or Behavioral Dysfunction,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0003467/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0003467/relations
161891005,C0004604,Back Pain,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0004604/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0004604/relations
94391008,C0153676,Secondary malignant neoplasm of lung,Neoplastic Process,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0153676/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0153676/relations
438949009,C2584946,Alive (finding),Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2584946/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2584946/relations
230690007,C0038454,Cerebrovascular accident,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0038454/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0038454/relations
363418001,C0346647,Malignant neoplasm of pancreas,Neoplastic Process,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0346647/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0346647/relations
118227000,C1290982,Vital signs finding,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1290982/atoms,
722742002,C4302321,Breathing room air,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C4302321/atoms,
162673000,C0436117,General examination of patient,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0436117/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0436117/relations
281900007,C0559229,No abnormality detected,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0559229/atoms,
363003006,C1285180,Cardiovascular physical examination,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1285180/atoms,
76863003,C2712143,Normal heart rate,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2712143/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2712143/relations
268925001,C0436121,Examination of respiratory system,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0436121/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0436121/relations
48348007,C0231855,Normal breath sounds,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0231855/atoms,
225162003,C0562238,Examination of abdomen,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0562238/atoms,
51316009,,,,,
609343002,C3543005,Surgical incision wound (morphologic abnormality),Acquired Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C3543005/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C3543005/relations
302773001,C0562241,Examination of limb,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0562241/atoms,
102599008,C0235218,Warm skin,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0235218/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0235218/relations
3415004,C0010520,Cyanosis,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0010520/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0010520/relations
424372002,C0085649,Peripheral edema,Pathologic Function,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0085649/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0085649/relations
386390005,C0262723,Postanesthesia care,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0262723/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0262723/relations
36823005,C0184625,Normal diet,Daily or Recreational Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0184625/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0184625/relations
103744005,C0522792,Administration of intravenous fluids,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0522792/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0522792/relations
241716000,C0078944,Patient-Controlled Analgesia,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0078944/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0078944/relations
225782006,C1304888,Pain control,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1304888/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1304888/relations
301459008,C0578150,Hemodynamically stable,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0578150/atoms,
1156446004,C5548091,Demonstrates adequate pain control,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C5548091/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C5548091/relations
310500000,C0452415,"Diet, Healthy",Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0452415/atoms,
102834005,C2712184,Normal micturition,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2712184/atoms,
103746007,C0522794,Heparin therapy,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0522794/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0522794/relations
386661006,C0015967,Fever,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0015967/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0015967/relations
72970002,C0277803,Normal vital signs,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0277803/atoms,
160680006,C0425246,Fully mobile,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0425246/atoms,
129023004,C1290932,Continence independent,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1290932/atoms,
311401005,C0030688,Patient education (procedure),Educational Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0030688/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0030688/relations
420227002,C0150600,Advice,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0150600/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0150600/relations
371754007,C0012622,Discharge Planning,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0012622/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0012622/relations
392257007,C0204491,Mental status determination,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0204491/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0204491/relations
444714004,C2919636,Assessment of consciousness level,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2919636/atoms,
248234008,C0424536,Mentally alert,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0424536/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0424536/relations
288577006,C0566001,Does communicate,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0566001/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0566001/relations
165245003,C0429979,Independent walking,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0429979/atoms,
19585003,C0231287,Postoperative state,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0231287/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0231287/relations
394835006,C1273871,Patient medication education,Educational Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1273871/atoms,
967006,C0542304,Medication education,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0542304/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0542304/relations
359665005,C1276390,Ambulation training,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1276390/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1276390/relations
313210009,C0730549,Fluid intake education,Educational Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0730549/atoms,
304673006,C0582582,Functional activity education,Educational Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0582582/atoms,
183616001,C0420327,Follow-up arranged,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0420327/atoms,
737470001,C4545157,Primary care management,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C4545157/atoms,
1144586002,C5141269,Increased pain,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C5141269/atoms,
442672001,C0038999,Swelling,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0038999/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0038999/relations
822962003,C5231077,Redness of skin over lesion,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C5231077/atoms,
75823008,C0012621,Body Fluid Discharge,Body Substance,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0012621/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0012621/relations
419511003,C0237865,Propensity to adverse reactions to drug,Organism Attribute,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0237865/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0237865/relations
29857009,C0008031,Chest Pain,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0008031/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0008031/relations
401314000,C1276061,Acute non-ST segment elevation myocardial infarction (disorder),Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1276061/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1276061/relations
41976001,C0018795,Cardiac Catheterization Procedures,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0018795/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0018795/relations
13645005,C0024117,Chronic Obstructive Airway Disease,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0024117/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0024117/relations
444931001,C2919333,High troponin I level,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2919333/atoms,
413322009,C1446392,Problem resolved,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1446392/atoms,
781087000,C0496675,Medical care,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0496675/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0496675/relations
58184002,C0277556,Recurrent disease,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0277556/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0277556/relations
285385002,C0541828,Left sided chest pain,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0541828/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0541828/relations
425677008,C1960981,Pain radiating to left arm,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1960981/atoms,
23924001,C0232292,Chest tightness,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0232292/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0232292/relations
386705008,C0220870,Lightheadedness,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0220870/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0220870/relations
43724002,C0085593,Chills,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0085593/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0085593/relations
52613005,C0700590,Increased sweating,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0700590/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0700590/relations
422587007,C0027497,Nausea,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0027497/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0027497/relations
422400008,C0042963,Vomiting,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0042963/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0042963/relations
128974000,C1290922,Baseline state,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1290922/atoms,
267036007,C0013404,Dyspnea,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0013404/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0013404/relations
271299001,C0438111,Patient's condition worsened,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0438111/atoms,
56265001,C0018799,Heart Diseases,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0018799/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0018799/relations
164921003,C0438161,EKG: R wave abnormal,Laboratory or Test Result,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0438161/atoms,
76388001,C0520886,ST segment elevation (finding),Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0520886/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0520886/relations
26141007,C0520887,ST segment depression (finding),Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0520887/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0520887/relations
408488002,C1319419,Administration of prophylactic nitroglycerin,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1319419/atoms,
56018004,C0392681,Asthmatic breathing,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0392681/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0392681/relations
5880005,C0031809,Physical Examination,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0031809/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0031809/relations
105000003,C0523952,Troponin measurement,Laboratory Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0523952/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0523952/relations
431463004,C2317495,Administration of aspirin,Therapeutic or Preventive Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2317495/atoms,
23875004,C0332442,No pathologic diagnosis,Qualitative Concept,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0332442/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0332442/relations
275942009,C0555964,New medication added,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0555964/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0555964/relations
15220000,C0022885,Laboratory Procedures,Laboratory Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0022885/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0022885/relations
399208008,C0039985,Plain chest X-ray,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0039985/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0039985/relations
106062002,C1291012,Diaphragmatic finding,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1291012/atoms,
304530009,C0582418,Comfortable appearance,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0582418/atoms,
441829007,C2711404,Assessment for risk of cardiovascular disease,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2711404/atoms,
38341003,C0020538,Hypertensive disease,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0020538/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0020538/relations
419099009,C1546956,Dead (finding),Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1546956/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1546956/relations
386053000,C1261322,Evaluation procedure,Health Care Activity,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1261322/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1261322/relations
392570002,C1271104,Blood pressure finding,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1271104/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1271104/relations
301113001,C0577802,Finding of heart rate,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0577802/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0577802/relations
301283003,C0577970,Finding of rate of respiration,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0577970/atoms,
426224004,C1961840,"Oriented to person, time and place",Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1961840/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1961840/relations
134417007,C1277199,Normal mood,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1277199/atoms,
106131003,C0424108,Mood finding,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0424108/atoms,
427801009,C0240961,White sclera,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0240961/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0240961/relations
386666001,C1261138,Pupils equal and reacting to light,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1261138/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1261138/relations
103251002,C0522327,Normal ocular motility,Organ or Tissue Function,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0522327/atoms,
301926003,C0578603,Conjunctiva normal,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0578603/atoms,
1209208002,C5687613,Pale face,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C5687613/atoms,
113277000,C0026639,Oral mucous membrane structure,"Body Part, Organ, or Organ Component",https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0026639/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0026639/relations
271653008,C0425687,Jugular venous engorgement,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0425687/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0425687/relations
301803006,C0578482,Finding of apex beat,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0578482/atoms,
47495005,C0230136,Structure of intercostal space,Body Space or Junction,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0230136/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0230136/relations
279013009,C0458098,Midclavicular line,Body Location or Region,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0458098/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0458098/relations
26198000,C0232224,"Normal first heart sound, S>1<",Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0232224/atoms,
111974005,C0232231,"Normal second heart sound, S>2<",Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0232231/atoms,
301132007,C0577821,Heart sounds normal,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0577821/atoms,
1735007,C4048896,5 ML fentanyl 0.05 MG/ML Injection,Clinical Drug,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C4048896/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C4048896/relations
421433001,C1720139,Precordial heave,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1720139/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C1720139/relations
50522009,C0232238,Third heart sound inaudible,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0232238/atoms,
448488004,C3164427,Deformity of chest wall,Anatomical Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C3164427/atoms,
298382003,C0036439,"Scoliosis, unspecified",Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0036439/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0036439/relations
414564002,C0022821,Kyphosis deformity of spine,Anatomical Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0022821/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0022821/relations
50847000,C0158784,Accessory skeletal muscle,Congenital Abnormality,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0158784/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0158784/relations
9763007,C0231875,Expiratory wheezing,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0231875/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0231875/relations
249543005,C0426663,Abdomen soft,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0426663/atoms,
60728008,C0000731,Abdomen distended,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0000731/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0000731/relations
36760000,C0019214,Hepatosplenomegaly,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0019214/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0019214/relations
247348008,C0234233,Sore to touch,Sign or Symptom,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0234233/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0234233/relations
271303006,C0436149,Examination of skin,Diagnostic Procedure,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0436149/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0436149/relations
35498005,C0011620,Stasis dermatitis,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0011620/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0011620/relations
429040005,C0041582,Ulcer,Pathologic Function,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0041582/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0041582/relations
12402003,C2004491,Cicatrix,Pathologic Function,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2004491/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C2004491/relations
63103006,C0043325,Xanthomatosis,Disease or Syndrome,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0043325/atoms,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0043325/relations
54908008,C0232137,Normal carotid arterial pulse,Finding,https://uts-ws.nlm.nih.gov/rest/content/2024AB/CUI/C0232137/atoms,
