concept_id,name,group_abbr
50960005,Hemorrhage,DISO
716777001,Hemodynamic Monitoring,PROC
33367005,Coronary angiography,PROC
3227004,Structure of left main coronary artery,ANAT
386549008,Normal appearance (finding),DISO
251030009,Coronary stent stenosis,PHEN
371866009,TIMI grade 1: penetration without perfusion,DISO
36672000,Structure of distal portion of anterior descending branch of left coronary artery,ANAT
44024001,Diagonal branch of anterior descending branch of left coronary artery,ANAT
251018003,Coronary artery patent,PHEN
42586008,Large blood vessel structure,ANAT
57396003,Structure of circumflex branch of left coronary artery,ANAT
91754001,Structure of first obtuse marginal branch of circumflex branch of left coronary artery,ANAT
51815003,Structure of obtuse marginal branch of circumflex branch of left coronary artery,ANAT
57823005,Structure of left posterior lateral branch of circumflex branch of left coronary artery,ANAT
60383004,Structure of diaphragmatic surface of heart,ANAT
272657006,Cardiac wall structure,ANAT
371873004,Luminal irregularities of coronary artery,DISO
443113009,Structure of posterior descending coronary artery,ANAT
17269004,Structure of posterior lateral branch of right coronary artery,ANAT
162668006,Patient's condition unstable,DISO
182764009,Anticoagulation Therapy,PROC
25322007,Pathological Dilatation,DISO
746050008,Endovascular insertion of drug eluting stent,PROC
782902008,Implantation procedure,PROC
415582006,Stenosis,DISO
371865008,TIMI grade 3: complete perfusion,DISO
71388002,Interventional procedure,PROC
433236007,Transthoracic echocardiography,PROC
73829009,Right atrial structure,ANAT
36506006,Normal thickness,CONC
371857005,Normal left ventricular systolic function and wall motion,DISO
253522006,Right cardiac ventricular dilatation,DISO
366195000,Right ventricular wall motion - finding,DISO
81128002,Structure of sinus of Valsalva,ANAT
54247002,Ascending aorta structure,ANAT
57034009,Aortic arch structure,ANAT
838544003,Mild aortic valve regurgitation,DISO
409712001,Mitral Valve Prolapse Syndrome,DISO
838455001,Moderate tricuspid valve regurgitation,DISO
840306007,Mild pulmonary hypertension,DISO
4557003,Myocardial Preinfarction Syndrome,DISO
68566005,Urinary tract infection,DISO
64572001,Syndrome,DISO
276239002,Therapeutic procedure,PROC
445611009,Assessment of peripheral intravenous catheter site,PROC
396550006,Hematologic Tests,PROC
281789004,Antibiotic therapy,PROC
441481004,Chronic systolic heart failure,DISO
72670004,Physical findings,DISO
21639008,Hypervolemia (finding),DISO
21814001,Heart Ventricle,ANAT
1148786006,Normal cardiac output,DISO
235595009,Gastroesophageal reflux disease,DISO
182838006,Change of medication,PROC
55822004,Hyperlipidemia,DISO
385783005,Home health aide service management,PROC
53741008,Coronary Artery Disease,DISO
430481008,Assessment of mobility,PROC
306806004,Recommendation to continue with drug treatment,PROC
408347001,Drug interactions identified - drug changed,DISO
870714005,Allergy to sulfamethoxazole and/or trimethoprim,DISO
429239002,Allergy to sulfonamide antibiotic,DISO
102572006,Edema of lower extremity,DISO
722048006,Diuretic therapy,PROC
28743005,Productive Cough,DISO
233604007,Pneumonia,DISO
231287002,Infiltration (procedure),PROC
79015004,Worried,DISO
304562007,Informing doctor,PROC
74101002,Bilateral lungs,ANAT
19242006,Pulmonary Edema,DISO
390917008,Brain natriuretic peptide measurement,PROC
67599009,Pulmonary congestion,DISO
425802001,Bilateral pleural effusion,DISO
120041000119109,Atrial fibrillation with rapid ventricular response,DISO
42984000,Night sweats,DISO
25064002,Headache,DISO
63102001,Visual disturbance,DISO
64531003,Rhinorrhea,DISO
68235000,Nasal congestion (finding),DISO
267102003,Sore Throat,DISO
21522001,Abdominal Pain,DISO
2919008,"Nausea, vomiting and diarrhea",DISO
14760008,Constipation,DISO
405729008,Hematochezia,DISO
2901004,Melena,DISO
34436003,Hematuria,DISO
43396009,Hemoglobin A1c measurement,PROC
49436004,Atrial Fibrillation,DISO
722045009,Warfarin therapy,PROC
48867003,Bradycardia,DISO
119551000119102,Permanent cardiac pacemaker (finding),DISO
66951008,Carotid Endarterectomy,PROC
9014002,Psoriasis,DISO
95570007,Nephrolithiasis,DISO
49158009,Pathological accumulation of air in tissues,DISO
104847001,Oxygen saturation measurement,PROC
860975008,Normal dentition,DISO
298475003,Normal movement of neck,DISO
248651005,Heart irregularly irregular,DISO
2170000,Gallop rhythm,DISO
7036007,Pericardial friction rub,DISO
161957007,Breath normal,DISO
48409008,Rales,DISO
414915002,Obesity,DISO
35611005,Rebound tenderness,DISO
249545003,Abdominal guarding (finding),DISO
68367000,Thigh structure,ANAT
1137685003,Normal tissue perfusion,DISO
247441003,Erythema,DISO
74757004,Skin structure of elbow,ANAT
107647005,Weight finding,DISO
69328002,Distress,PHYS
248549001,Labored breathing,DISO
414799001,N terminal pro-brain natriuretic peptide level,PROC
61167004,Thyroid stimulating hormone measurement,PROC
3926003,Lactic acid measurement,PROC
441509002,Cardiac pacemaker in situ (finding),DISO
46750007,Structure of hilum of lung,ANAT
359748005,Patient condition unchanged,DISO
15825003,Aorta,ANAT
18115005,"Pathologic calcification, calcified structure",DISO
59820001,Blood Vessel,ANAT
18565007,Redistribution,CONC
281158006,Structure of pulmonary blood vessel,ANAT
10024003,Basal segment of lung,ANAT
46621007,Atelectasis,DISO
40733004,Communicable Diseases,DISO
36118008,Pneumothorax,DISO
272673000,Skeletal bone,ANAT
253361002,Left atrial dilatation,DISO
253350005,Right atrial dilatation,DISO
840304005,Moderate left ventricular hypertrophy,DISO
366189001,Left ventricular wall motion - finding,DISO
366190005,Left ventricular blood flow - finding,DISO
81040000,Pulmonary artery structure,ANAT
12929001,Normal systolic arterial pressure,DISO
55827005,Left Ventricular Hypertrophy,DISO
13543005,Pressure (finding),DISO
446221000,Heart failure with normal ejection fraction,DISO
233817007,Triple vessel disease of the heart,DISO
698296002,Acute exacerbation of chronic congestive heart failure,DISO
44054006,"Diabetes Mellitus, Non-Insulin-Dependent",DISO
304540007,Recommendation to stop drug treatment,PROC
182837001,Restart of medication,PROC
225301004,Sliding scale insulin regime,PROC
84114007,Heart failure,DISO
370835007,Monitoring for signs and symptoms of infection,PROC
166717003,Serum creatinine raised,DISO
310036006,Cardiology service (procedure),PROC
440685005,Calculation of international normalized ratio,PROC
443344007,Acute on chronic diastolic heart failure,DISO
248480008,Leg swelling symptom,DISO
239516002,Monitoring procedure,PROC
18629005,Administration of medication,PROC
262286000,Weight Gain,DISO
42343007,Congestive heart failure,DISO
419284004,Abnormal mental state,DISO
271713000,General unsteadiness,DISO
165232002,Urinary Incontinence,DISO
248220008,Asleep,DISO
274660003,Slowness and poor responsiveness,DISO
282145008,Unable to walk (finding),DISO
284592002,Vocal and verbal behavior finding,DISO
162294008,Speech impairment,DISO
285387005,Left sided abdominal pain,DISO
161898004,Falls,DISO
82271004,Craniocerebral Trauma,DISO
13791008,Weakness,DISO
56459004,Foot,ANAT
59573005,Potassium measurement,PROC
29092000,Veins,ANAT
26079004,Tremor,DISO
3424008,Tachycardia,DISO
371908008,Oxygen administration by mask,PROC
24612001,Rhonchi,DISO
40768004,Left thorax structure,ANAT
51872008,Right thorax structure,ANAT
447243000,Bilevel positive airway pressure titration,PROC
36456004,Mental state,DISO
54150009,Upper Respiratory Infections,DISO
302192008,On treatment for hypertension,PROC
28651003,"Hypotension, Orthostatic",DISO
438113009,"Syncope, Convulsive",DISO
371186005,Amputation of toe (procedure),PROC
7769000,Structure of right foot,ANAT
193570009,Lens Opacities,DISO
230572002,Diabetic Neuropathies,DISO
840673007,Head normal,DISO
427161009,Oriented to place,DISO
300280008,Pharynx normal,DISO
369001,Normal jugular venous pressure,DISO
30746006,Lymphadenopathy,DISO
414916001,adiposity,PHYS
714254003,Abdominal organomegaly,DISO
61685007,Lower Extremity,ANAT
53120007,Upper Extremity,ANAT
6950007,Apraxias,DISO
298331001,Normal motor response to command,DISO
80768000,Left upper extremity,ANAT
18460000,Normal nervous system function,DISO
427645006,Oriented to person,DISO
81745001,Eye,ANAT
34922002,Lung field,ANAT
827160004,Erythematous rash,DISO
77568009,"Back structure, excluding neck",ANAT
1240423001,Pruritic disorder,DISO
830121005,Normal central nervous system,DISO
74765001,Lymphocyte count (procedure),PROC
26758005,Albumin measurement,PROC
34608000,Alanine aminotransferase measurement,PROC
45896001,Aspartate aminotransferase measurement,PROC
359986008,"Bilirubin, total measurement",PROC
391396001,Blood total carbon dioxide (calculated),PROC
57378007,Urine protein test,PROC
47615003,"Urinalysis, acetone or ketone bodies measurement",PROC
359992002,"Bilirubin measurement, urine",PROC
81065003,Hydrogen ion concentration measurement,PROC
8186001,Cardiomegaly,DISO
128319008,Intracranial structure,ANAT
415994006,Structure of right side of abdomen,ANAT
416011007,Structure of left side of abdomen,ANAT
162469005,Symptom moderate,DISO
60184004,Sigmoid colon,ANAT
307496006,Diverticulitis,DISO
251150006,Sinus rhythm,DISO
270492004,First degree atrioventricular block,DISO
365408009,ECG waveform - finding,DISO
5177007,Electrocardiographic axis finding,DISO
55930002,EKG ST segment changes,DISO
26036001,Obstruction,DISO
119274003,Lower pole of left kidney,ANAT
77945009,Simple renal cyst,DISO
306005,Echography of kidney,PROC
418304008,"Heart Failure, Diastolic",DISO
271825005,Respiratory distress,DISO
40541001,Acute pulmonary edema,DISO
439569004,Resuscitation (procedure),PROC
96311000119109,Exacerbation of congestive heart failure,DISO
25389001,Fluid restriction,PROC
422588002,Aspiration Pneumonia,DISO
162182005,Diuresis,PHYS
414478003,Blood leukocyte number above reference range,DISO
303653007,CAT scan of head,PROC
22631008,"Gait, Unsteady",DISO
30753002,"Hydrocephalus, Normal Pressure",DISO
35764002,Cerebral Ventricles,ANAT
91175000,Seizures,DISO
305351004,Admission to intensive care unit,PROC
87228002,Decompensation,DISO
236433006,Acute-on-chronic renal failure,DISO
709044004,Chronic Kidney Diseases,DISO
129561000119108,Pre-renal acute kidney injury,DISO
34095006,Dehydration,DISO
43064006,Hydronephrosis,DISO
41829006,Diet,OBJC
840595002,Platelet aggregation inhibitor therapy,PROC
133877004,Therapeutic regimen,PROC
72658003,Miliaria Rubra,DISO
419076005,Allergic Reaction,DISO
84387000,Asymptomatic (finding),DISO
129676008,Physical functional dependency,DISO
365112008,Walking aid use - finding,DISO
195951007,Acute exacerbation of chronic obstructive pulmonary disease,DISO
64033007,Kidney,ANAT
308116003,Antihypertensive therapy,PROC
248223005,Felt faint,DISO
60845006,Dyspnea on exertion,DISO
10904000,Standing position,CONC
89837001,Urinary Bladder,ANAT
300373008,Finding of defecation,DISO
267628004,Generalized visual field constriction,DISO
249990003,Unsteady when standing,DISO
49928004,Anterior portion of neck,ANAT
419045004,Unconscious State,DISO
33586001,Sitting position,DISO
712759008,Sense of impending doom,DISO
413439005,Acute ischemic heart disease,DISO
83291003,Cor pulmonale,DISO
363679005,Diagnostic Imaging,PROC
423699002,Enchondroma,DISO
698247007,Cardiac Arrhythmia,DISO
394659003,Acute Coronary Syndrome,DISO
128060009,Varicosity,DISO
1231296008,Bilateral cataract extraction,PROC
708983005,Laparoscopic bypass of stomach,PROC
4365001,Surgical repair,PROC
368208006,Left upper arm structure,ANAT
85562004,Hand structure,ANAT
19921004,Crushing injury,DISO
257838009,External fixation of bone,PROC
265855005,Varicose vein stripping,PROC
32153003,Left lower extremity,ANAT
361137007,Irregular heart beat,DISO
371973000,Uterine Cancer,DISO
249533007,Obese abdomen,DISO
300405003,Normal abdominal contour,DISO
40927001,Both lower legs,ANAT
399054005,Exotropia,DISO
24982008,Diplopia,DISO
102981005,Normal reflex,DISO
248324001,Positive Nutritional Status,DISO
282932005,Does move from lying to sitting,DISO
392262008,Eyebrow structure,ANAT
341000119102,Tattoo,DISO
414403008,Hernia,DISO
95324001,Skin lesion,DISO
25197003,Sodium measurement,PROC
486261000119109,"Plain X-ray of chest, posteroanterior",PROC
719460003,Bone structure of left humerus,ANAT
113091000,Magnetic Resonance Imaging,PROC
300577008,Finding of lesion,DISO
80272002,Structure of carotid bifurcation,ANAT
85234005,Structure of vertebral artery,ANAT
442338001,Gastric Bypass,PROC
442347009,Emotional Stress,DISO
302866003,Hypoglycemia,DISO
183654001,Follow-up in outpatient clinic,PROC
170572009,Follow-up cardiac assessment,PROC
404640003,Dizziness,DISO
293597001,Allergy to codeine,DISO
11830061000119100,Hematoma of right knee region,DISO
1003722009,Knee pain,DISO
248491001,Swollen knee region,DISO
6757004,Structure of right knee region,ANAT
302495003,Arthrotomy,PROC
86406008,HIV Infections,DISO
78514002,Thigh pain,DISO
48245008,"Arthritis, Bacterial",DISO
11207009,Structure of right thigh,ANAT
118480003,Application of cast,PROC
417746004,Traumatic injury,DISO
125667009,Contusions,DISO
113152007,Application of ice,PROC
72696002,Knee region structure,ANAT
299335003,Normal active range of knee flexion,DISO
87784001,soft tissue,ANAT
83038001,Femoral region,ANAT
35566002,Hematoma,DISO
416838001,Erythrocyte sedimentation rate measurement,PROC
55235003,C-reactive protein measurement,PROC
20701002,Open reduction with internal fixation,PROC
368148009,Left elbow region structure,ANAT
160931000119108,Aspartate transaminase level above reference range,DISO
86273004,Biopsy,PROC
197321007,Steatohepatitis,DISO
4740000,Herpes zoster (disorder),DISO
38907003,Chickenpox,DISO
47505003,Post-Traumatic Stress Disorder,DISO
363358000,Malignant neoplasm of lung,DISO
86933000,Alcoholic beverage heavy drinker,ACTI
449756003,Serosanguineous discharge from wound,DISO
18165001,Icterus,DISO
299956006,Normal sensation,DISO
55929007,Irritable Mood,DISO
88810008,Alkaline phosphatase measurement,PROC
271280005,Tracheal Extubation,PROC
30088009,Blood culture,PROC
425196008,Insertion of peripherally inserted central catheter,PROC
281790008,Intravenous antibiotic therapy,PROC
1073511000119104,Infective arthritis of right knee,DISO
30549001,Removal of sutures,PROC
35963001,Removal of staples,PROC
249981005,Weight-bearing,DISO
62175007,Right lower extremity,ANAT
223434003,Recommendation to avoid activity,PROC
79321009,Application of splint,PROC
302748001,Narcotherapy,PROC
16076005,Prescription (procedure),PROC
52685006,Administration of analgesic,PROC
271782001,Drowsiness,DISO
281078001,Education about alcohol consumption,PROC
708652009,Narcotics education,PROC
229598006,Full weight-bearing gait training,PROC
371605008,Deep breathing and coughing exercises,PROC
43526002,Operative site,CONC
62315008,Diarrhea,DISO
279084009,Chest discomfort,DISO
2640006,Clinical stage 4,CONC
254878006,Endometrial Carcinoma,DISO
39871006,Chronic respiratory failure,DISO
389087006,Hypoxemia,DISO
238136002,Morbid obesity,DISO
119292006,Gastrointestinal Diseases,DISO
84480002,Retching,DISO
367391008,Malaise,DISO
102594003,Electrocardiogram abnormal (finding),DISO
383371000119108,CT of head without contrast,PROC
85804007,Congestion,DISO
236886002,Hysterectomy,PROC
433144002,Chronic kidney disease stage 3,DISO
302215000,Thrombocytopenia,DISO
254837009,Malignant neoplasm of breast,DISO
308540004,Inpatient stay,CONC
278650002,"Mouth, Edentulous",DISO
271662005,Heart sounds diminished,DISO
73112009,Dark color,CONC
67269001,Skin structure of ankle,ANAT
88610006,Heart murmur,DISO
421605005,2+ pitting edema,DISO
273974004,Serum total lactate dehydrogenase measurement,PROC
55438003,Structure of centrum semiovale,ANAT
27915009,Structure of small blood vessel (organ),ANAT
52674009,Ischemia,DISO
29624005,Structure of right half of head,ANAT
816077007,Nuclear magnetic resonance imaging brain,PROC
373124004,Normal size cardiac chamber,DISO
429750003,Left ventricular wall motion abnormality,DISO
30288003,Ventricular Septal Defects,DISO
251036003,Aortic root dilatation,DISO
6530003,Structure of cardiac valve leaflet,ANAT
91134007,Mitral Valve,ANAT
370380004,Ultrasound scan finding,PHEN
45816000,Pyelonephritis,DISO
119278000,Upper pole of right kidney,ANAT
722223000,Renal cyst,DISO
128477000,Abscess,DISO
119280006,Lower pole of right kidney,ANAT
367643001,Cyst,DISO
433036004,Diverticulum of renal calyx,DISO
54967001,Double kidney (disorder),DISO
9846003,Right kidney,ANAT
17672001,Accumulation of fluid,CONC
27033000,Lower abdomen,ANAT
715068009,Seroma,DISO
123872000,Structure of intraabdominal region,ANAT
309198006,Abnormal histology findings,DISO
4147007,Mass of body structure,DISO
16294009,Splenomegaly,DISO
266474003,Cholelithiasis,DISO
771319006,Structure of right half of chest wall,ANAT
1021000119106,Peripherally inserted central venous catheter in situ,DISO
162498009,Symptom not changed,DISO
269934003,Microbiology procedure,PROC
